NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
162,不動ヶ谷公園,,和光三丁目４－２,,34.7818039,138.0045362,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
163,中宿公民館,,中宿２１,,34.7807469,138.0076589,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
164,永江院,,和光３丁目１２－２,,34.7836869,138.0067262,,,,,静岡県,掛川市,1,0,,0,0,,,,,,,,
165,小和田前公民館,,倉真１０９２－３,,34.8122451,138.0255502,,,,,静岡県,掛川市,0,1,,0,0,,,,,,,,
166,倉真報徳社,,倉真８３７,,34.8090904,138.024901,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
167,２区公民館,,倉真１７２５,,34.8112938,138.0333978,,,,,静岡県,掛川市,1,1,,0,0,,,,,,,,
168,３区公民館,,倉真３４８９－２,,34.8234962,138.037007,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
169,倉真地域生涯学習センター,,倉真３８０８－１,,34.8162845,138.0361772,,,,,静岡県,掛川市,1,1,,0,0,,,,,,,,
170,４区公民館,,倉真６４２２－１,,34.827863,138.0336045,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
171,新東名高速道路ＳＡ,,倉真７５０７－２３　,,34.8416168,138.042106,,,,,静岡県,掛川市,1,1,,0,0,,,,,,,,
172,６区公民館,,倉真８０１８,,34.8406427,138.0556539,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
173,７区公民館,,倉真２７０５－４３,,34.8145891,138.030573,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
174,小市公民館,,上西郷４３１－４,,34.788497,138.0123504,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
175,方の橋公民館,,上西郷１２５９－２,,34.7935481,138.0095721,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
176,下五明公会堂,,五明６６－１，６６－１１,,34.7954042,138.0064597,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
177,構江公民館,,上西郷２４４９－１,,34.8049359,138.0106944,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
178,構江遊園地,,上西郷２３６８,,34.8045547,138.0092461,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
179,石畑公民館,,上西郷２７６４－１,,34.8086873,138.0121363,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
180,石ケ谷区公民館,,上西郷３０３６－５,,34.8112831,138.0101809,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
181,美人ケ谷公民館,,上西郷４０２９,,34.8130218,138.0134299,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
182,三笠幼稚園,,上西郷４１１６,,34.8108077,138.0175343,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
183,滝の谷公民館,,上西郷４５９３－２,,34.8191444,138.0183516,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
184,長間区公民館,,上西郷６０３３ー１,,34.824819,138.0254953,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
185,特別養護老人ホーム福祉の郷,,上西郷７９２１－１,,34.8185714,138.0236303,,,,,静岡県,掛川市,0,1,,1,0,,,,,,,,
186,大飛公民館,,五明５１６－１,,34.8065614,138.0037102,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
187,大宮公民館,,五明８２１－１,,34.8086672,138.0035888,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
188,中五明集会所,,五明２８９－２,,34.8032764,138.0037843,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
189,大和田公会堂,,大和田３４９－８,,34.8469616,138.0073399,,,,,静岡県,掛川市,1,1,,1,0,,,,,,,,
190,孕丹公民館,,丹間１５－１,,34.8535767,138.0152783,,,,,静岡県,掛川市,1,0,,1,0,,,,,,,,
191,農協原泉支所広場,,孕石６０－２,,34.8510428,138.0150448,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
